Fecha,Ticker,Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,Ratio8,Ratio9,Ratio10,Ratio11,Ratio12,Ratio13,Ratio14,Ratio15,Ratio16,Ratio17,Ratio18,Ratio19,Ratio20,Ratio21,Ratio22,Ratio23,Ratio24,Ratio25,Ratio26,IssuerRating,SovereignRating
30/09/2015,IQ347306,0.027364099,0.491137,3.826209989,0,0.617614835,20.14537608,NaN,1.56894514,10.791,0.161504621,0.316118708,3.166383354,16.2904,0.02113731,0.4545765,4.981365961,0.062101032,0.639162747,19.09828119,8.553453287,0.934497901,13.951275,0.136967234,0.280851131,3.212094856,12.7176,BB-,AA+
31/12/2015,IQ347306,0.014608183,0.398339,5.104868051,0,0.614628276,13.79556917,NaN,1.950325656,-0.6138,0.445887256,0.261728013,3.042885544,36.0884,0.020828292,0.44912575,4.788762661,0.032226309,0.630328575,17.09447023,12.14768533,1.315805215,8.146,0.223673579,0.283198013,3.166463192,19.7263,BB-,AA+
31/03/2016,IQ347306,0.014382835,0.406978,5.54205307,0,0.624161024,13.41892271,NaN,1.701952405,-1.7092,0.051304432,0.25948298,3.071381753,4.0256,0.020549054,0.44736825,4.674443586,0.002520455,0.624028105,16.64727305,22.9270004,1.612203244,4.5032,0.212281266,0.284312265,3.120018718,18.7242,BB-,AA+
30/06/2016,IQ347306,0.023762614,0.47985,4.120057219,0,0.628334951,17.86028427,NaN,1.757797973,-4.8224,0.184459222,0.302083291,3.067140992,17.0516,0.020029433,0.444076,4.648297082,0,0.621184771,16.30503806,NaN,1.744755293,0.9114,0.210788883,0.284853248,3.086947911,18.364,BB-,AA+
30/09/2016,IQ347306,0.029151484,0.507775,3.385884866,0,0.607925748,20.77817351,NaN,0.901980629,1.6683,0.160963666,0.333123167,2.940496362,15.8272,0.020476279,0.4482355,4.538215801,0,0.6187625,16.46323742,NaN,1.578014166,-1.369275,0.210653644,0.289104363,3.030476163,18.2482,BB-,AA+
31/12/2016,IQ347306,0.018641706,0.456265,4.679439956,0.001245341,0.624290961,16.75407799,166.0664211,0.654976902,14.3059,0.101946065,0.282969851,3.035278554,8.5376,0.02148466,0.462717,4.431858778,0.000311335,0.621178171,17.20286462,166.0664211,1.254176977,2.36065,0.124668346,0.294414822,3.028574415,11.3605,BB-,AA+
31/03/2017,IQ347306,0.015836752,0.422662,5.132465638,0,0.628849961,15.79945251,NaN,0.780819894,5.0935,0.05520102,0.282054799,3.098071218,4.7428,0.021848139,0.466638,4.32946192,0.000311335,0.622350405,17.79799707,166.0664211,1.02389385,4.061325,0.125642493,0.300057777,3.035246781,11.5398,BB-,AA+
30/06/2017,IQ347306,0.026595182,0.490724,3.739826915,0,0.625042648,20.00757258,NaN,0.587326719,3.9789,0.146957557,0.332449472,3.072499545,14.9712,0.022556281,0.4693565,4.234404344,0.000311335,0.621527329,18.33481915,166.0664211,0.731276036,6.26165,0.116267077,0.307649322,3.03658642,11.0197,BB-,AA+
30/09/2017,IQ347306,0.028682458,0.49933,3.456182589,0,0.618623871,22.06939847,NaN,0.832222379,-2.677,0.188818523,0.341379574,3.048878869,19.8244,0.022439024,0.46724525,4.251978774,0.000311335,0.62420186,18.65762539,166.0664211,0.713836473,5.175325,0.123230791,0.309713424,3.063682046,12.019,BB-,AA+
30/09/2012,IQ337183,0.006118406,0.197507,7.910546392,0.040585848,0.685391008,5.983732923,2.896196849,1.198631814,6.1432,-0.08001329,0.407904607,4.063939889,-19.6404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,B-,AA+
